forum_id|person_id|joinDate
168860|6906|2013-02-02T01:58:26Z
200900|6906|2013-02-01T01:43:55Z
98180|6906|2011-09-05T11:40:36Z
200920|6906|2013-01-03T09:25:40Z
200940|6906|2012-08-27T04:52:51Z
200960|6906|2012-05-27T09:30:58Z
200980|6906|2012-07-03T02:45:28Z
201000|6906|2012-12-19T08:32:31Z
201020|6906|2012-12-19T10:50:41Z
201040|6906|2012-07-26T08:22:21Z
201060|6906|2013-01-15T04:28:26Z
201100|6906|2012-11-02T02:53:38Z
201120|6906|2013-01-29T04:47:51Z
201140|6906|2012-10-08T10:54:56Z
201160|6906|2012-08-29T03:14:57Z
201220|6906|2012-12-03T11:08:08Z
201240|6906|2012-10-22T03:12:43Z
201260|6906|2012-02-13T04:47:00Z
201320|6906|2011-12-04T02:33:47Z
201340|6906|2012-05-18T03:51:16Z
201380|6906|2013-01-28T06:12:53Z
201400|6906|2012-11-01T11:29:27Z
201460|6906|2012-09-09T02:31:49Z
201480|6906|2012-01-15T01:39:23Z
201520|6906|2013-01-11T09:45:50Z
201560|6906|2012-12-26T09:02:24Z
201580|6906|2013-01-16T08:47:34Z
201620|6906|2012-02-08T04:51:40Z
10680|6906|2010-12-13T05:59:36Z
201660|6906|2012-11-28T08:45:54Z
201720|6906|2012-07-30T02:28:35Z
201740|6906|2012-12-26T11:43:40Z
201760|6906|2012-08-31T11:42:38Z
201780|6906|2011-12-24T06:12:04Z
201800|6906|2011-10-31T09:52:18Z
201840|6906|2011-10-27T06:24:39Z
201880|6906|2011-12-24T02:48:51Z
201900|6906|2012-07-22T05:55:17Z
201940|6906|2012-12-04T02:29:43Z
201960|6906|2012-09-04T11:13:01Z
201980|6906|2013-01-09T09:17:04Z
202000|6906|2012-09-11T04:06:07Z
202020|6906|2011-06-06T02:46:57Z
202060|6906|2012-10-31T07:55:01Z
202100|6906|2012-08-08T06:21:43Z
202120|6906|2012-08-02T10:25:10Z
202140|6906|2013-01-20T07:26:46Z
202220|6906|2012-11-01T02:25:42Z
202260|6906|2013-01-19T07:46:04Z
202280|6906|2012-03-13T00:50:05Z
202320|6906|2012-02-20T02:38:04Z
202360|6906|2012-08-01T08:16:07Z
202380|6906|2011-12-03T07:52:42Z
202400|6906|2012-08-12T07:52:28Z
202420|6906|2012-10-27T09:54:26Z
202460|6906|2011-06-20T10:49:42Z
202520|6906|2012-06-24T02:27:25Z
202540|6906|2012-11-24T02:22:22Z
202560|6906|2012-08-13T11:27:00Z
202600|6906|2012-06-25T09:36:34Z
202620|6906|2012-08-01T01:34:35Z
202640|6906|2013-01-27T00:26:23Z
202660|6906|2012-04-18T08:40:29Z
202680|6906|2012-12-30T05:41:17Z
202700|6906|2013-01-01T11:23:14Z
167440|6906|2010-05-14T04:15:25Z
202740|6906|2013-01-08T09:29:58Z
202760|6906|2011-09-26T02:22:47Z
202780|6906|2012-04-12T00:09:18Z
202820|6906|2012-07-27T10:37:25Z
