comment_id|person_id
380|8443
7450|8443
8860|9480
8910|534
8970|6995
16900|8443
27270|8443
28580|4909
28590|4909
28620|4909
28630|534
33090|8372
33200|8443
42040|8372
47800|4909
47930|6791
53410|8372
59540|534
63820|4909
79150|8443
98550|8372
109230|6791
109280|4909
109350|6995
114820|8443
122620|4909
122700|8443
125050|6995
141480|534
141510|6906
146220|6906
146310|9480
158970|6995
163090|6906
173830|9480
175010|3425
175040|4909
175080|38
176630|9480
176640|4909
180760|9480
184870|9480
184890|6906
185220|6906
185270|38
186340|6906
195270|4909
195340|9480
200650|6906
200670|6995
201800|6906
203370|4909
206320|6906
206540|6995
209750|38
212010|6906
212090|4909
213400|38
214060|9480
214080|4909
215790|6906
222940|38
227890|6995
227930|38
232640|6906
232690|6995
243360|38
250690|9480
250720|6995
257670|6906
265210|38
266670|6995
266690|4909
267420|4909
272630|3425
272640|3425
276320|38
276370|6995
281950|6488
283080|6488
285130|6488
286700|6488
287350|6488
288240|6488
288290|6488
288330|6488
288650|6488
290790|6488
290800|6488
292130|6488
294610|6488
295480|2343
296390|6488
297130|6488
297790|6488
298580|6488
299110|6488
299120|6906
299140|6488
300000|6488
300560|6488
304000|6488
304070|6488
304370|6488
304450|6488
305030|6488
305990|6488
306340|6488
306610|6488
306660|6488
306890|6488
307140|6488
307280|6488
308750|6488
313750|6488
315230|6488
315250|6488
321370|6488
321450|6488
321810|6488
322560|6488
323080|6488
323090|6488
335380|4909
338620|4909
343040|4909
343120|4909
344260|2343
344280|8372
344290|2343
344310|6906
344330|6906
344360|4909
344390|4909
361510|1426
361570|1426
378760|9480
383360|4636
384250|4636
385910|2196
385950|4636
386500|4636
386540|4636
386550|4636
387120|8354
389200|4636
390500|6995
391520|2263
392690|2263
394130|2263
395500|1627
395760|2263
396170|2263
400310|2263
404790|1627
406030|1627
406040|1627
409790|1627
410150|2263
411240|1627
413290|1627
413480|2263
414100|2263
414490|2263
414940|2263
415880|2263
416830|2263
417740|1627
418990|8899
419000|2263
419020|3715
419030|8899
419300|1426
419320|38
419480|2263
419540|2263
419690|2263
420660|1627
422490|1627
423920|2263
425960|1627
426090|2263
426350|2263
426440|1627
427400|2263
428230|2263
430800|2263
431230|1627
431810|6963
431850|3425
431950|7767
432050|2263
434120|1426
434150|38
434220|2263
434250|2263
435700|1627
437560|2263
437680|2263
438360|2263
438760|2263
439470|2263
442470|38
442600|38
442980|1426
443060|38
443550|38
443620|1426
443700|8888
444640|1627
444690|2263
444840|2263
446380|1627
446910|1627
448210|1627
450030|2263
450740|1627
455270|1627
455290|2263
455710|3425
455730|1426
455770|2343
456020|1627
456040|2263
456170|8888
456180|2343
456990|2263
457260|1627
457420|2263
457800|2263
460670|2263
461220|2263
462160|2263
462330|2263
463100|2263
464380|2263
464850|2263
465340|2263
467410|2343
468080|2263
471060|1627
471260|2263
471750|2263
471790|2343
471810|1627
471850|1426
471960|2263
473130|2263
474210|2263
474220|2263
475620|1627
475630|2263
475740|2263
475900|2263
475940|2263
476050|2263
476860|2263
479140|2263
479920|6963
479990|1627
483060|2263
483710|1627
487100|1627
488330|3459
488340|38
488410|2343
488470|2263
490130|7998
490470|7998
491010|7998
491710|7998
492140|2196
492660|7998
493980|7998
494440|7998
495010|7998
496090|7998
496980|7998
497250|7998
497780|6995
499060|7998
499370|7998
500160|7998
500710|7998
501020|7998
501210|7998
501310|7998
501860|7998
503050|7998
503790|7998
505720|7998
506230|7998
507030|7998
507060|7998
507630|7998
507710|7998
507810|7998
507940|7998
509080|6995
509110|7998
509150|7998
510120|7998
512760|7998
513360|7998
514350|7998
514600|7998
514630|7998
514790|7998
516520|7998
517200|7998
517220|7998
517410|7998
517970|8372
518000|8888
518020|8888
518040|7998
518070|6995
518680|7998
520300|7998
521530|7998
521770|7998
522680|7998
523080|7998
523300|7998
523670|7998
524630|7998
524840|7998
525090|7998
526180|7998
526620|7998
526640|7998
527380|7998
527420|7998
528800|7998
529160|7998
529520|7998
531320|7998
533630|7998
534510|7998
537590|7998
538210|7998
539410|7998
540780|7998
541190|7998
542750|7998
543460|7998
544220|7998
544460|7998
544470|7998
544570|7998
544620|7998
545060|7998
545110|7998
545220|7998
546250|7998
547100|7998
547340|7998
547420|7998
547880|7998
